#台羅	漢字（按次數）
hiat4	血 㧒 擷 泬 㔃 發 㩵 撇 歇 棄 擯 緜 頡 𥄴
hiat8	穴 頁 絜 頡 挈
hiau1	僥 徼 撓 梟 驍 鴞 儌 撬 枵 顯
hiau2	曉 會
hiau3	娎 撓
hiau5	嬈 嫐
hiau7	藠
hiauh4	謔 娎 漳 剝 僥 𥀣
hiaunnh4	鿃 睒
hik4	嚇 礉 砉 赫 哧
hik8	惑 核 或 域 肉 嚄 獲 閾 劃 繳 覈 洫 棫 蜮 黑 逆 馘 砉 滆 膕 劾 閡 彧 彠
him1	欣 歆 䫴 噷 昕 鑫 忻 焮 炘 訢 𦜓
him3	焮
him5	熊
him7	噤 愖
hin1	興 欣 昕 馨
hin3	釁 璺 興 焮 𦜓
hin5	眩 雄 癇 暈
hin7	恨 分 釁
hing1	胸 興 兄 馨 音 身 行 軀 哼 窮 脯 亨 烹 啍 匈
hing2	高 向 擤 篚 迥 娙 婞 悻 詗 敻
hing3	興 詗 喋 敻
hing5	形 行 刑 還 型 橫 雄 衡 恆 滎 莖 鈃 邢 陘 硎 鉶 辭 恒 縱 屯 絚 衒 珩 娙 熒
hing7	行 杏 幸 倖 脛 荇 僥 莧 衒 頸 操 莕 婞 悻 炫
hinn1	哼
hinn2	㩵 戲
hinn3	㩵 戲 嚱 擜 獻 擲 㸆
hinn5	耳 懸 硯
hinn7	耳 硯 肢 㩵 戲
hinnh8	欷
hio1	僥 靴
hio2	否
hio5	侯
hio7	後 后 藠 候 衍 諾
hioh4	歇 葉 宿
hioh8	葉 鴞 箬 鶚 諾 篛
hiok4	畜 蓄 謔 奧 勖 頊 郁 燠 旭 隩 噢 煜 薁 旯 慉 彧 鴥
hiong1	兇 鄉 凶 香 窮 匈 胸 雄 洶 馨 薌 相 案
hiong2	響 享 曏 向 饗 鄉 嚮 晌
hiong3	向 餉 嚮 曏 鄉 朝 羌 晌
hiong5	雄 兇 熊 融 怪 鄉 凶 顒
hiong7	向
hionn1	香 鄉 熅
hionn2	響
hionn3	瑴
hior2	肷
hior5	蕁
hip4	翕 歙 攝
hir5	魚
hirinn5	橫
hit4	彼 軁 汔 迄 𦑌
hit8	𦑌 彼 擲 肸 肐
hiu1	休 咻 不 幽
hiu2	朽 不
hiu3	溴 拂 復 不 臭 嗅 搝 複 糗 灑 𩑣
hiu5	裘 不 咻 䀐
hiu7	復
hiunn1	香 鄉 衝 冲 沖 薌 熅
hiunn2	響
hiunn5	施
hiunnh8	忡
hm2	哼 呣
hm3	呣
hm5	茅 媒 哼 嗬
hm7	噤 頷 喑 地
hmh4	哼
hmh8	默 噷 含
hng1	方 昏 荒 坊 哼 遠
hng2	撼
hng3	哼 遠 嗯
hng5	園 嗯 台 哼 哈
hng7	遠 濩 窵
hngh4	嗯 哼
hngh8	哼 亨
ho1	喝 呵 熇 蒿 號 好 苛 皋
ho2	好 火 伙 和 夥 喝 荷 嚇 管 泉 計 炮 康 豁 栓 烙 爖 鈥 暍 𥼶 熅
ho3	貨 荷 耗 好
ho5	和 河 何 豪 荷 毫 壕 合 涸 濠 號 蚵 齕 𠢕 核 胡 鞨 褐 蠔 餄 盒 皋 劾 闔 覈 嚎 瑚 禾
ho7	號 禍 賀 浩 和 好 荷 暠 鎬 付 被 河 嗬 何 皓 召 吆
hoh4	熇 喝 喲
hoh8	鶴
hok4	福 複 復 覆 腹 輻 幅 蝠 霍 蝮 熇 清 服 愎 馥 漷 䶅 漬 蚇
hok8	服 復 伏 袱 茯 貉 栿 菔 洑 縛 蔔 幞 襆 箙 鰒 事 複 匐 礐 宓 鵩 馥 佫 鶴 觳
hom2	吼
hom3	出
hong1	風 方 封 豐 鋒 荒 峰 肪 脝 烽 坊 肓 妨 瘋 轟 枋 芳 慌 蜂 匚 葑 灃 酆 訇 邡 鈁 丰 渢 楓 碸 哄 哼 市 膨 魴 屏 颼 雱 鰟 亨 嫳 舫 艽
