#台羅	漢字（按次數）
liong2	兩 嚷 輛 倆 釀 魎 攘 壟 隴 𣭲 攏 冗 壤 啢 裲 氄
liong3	踜 躘 釀
liong5	良 龍 量 絨 隆 茸 涼 梁 莨 踉 娘 樑 粱 狼 糧 孃 輬 窿 癃 戎 諒 瓏 踞 龐 瀧 蘢 襱 躘 瓤 瀼 蘘 禳 穰 羢
liong7	量 諒 讓 冗 涼 亮 踉 晾 隆 喨 陰 良 釀 輛 倞 躘 瀼
lip4	入 趇 立
lip8	入 立 粒 笠 崖 廿 苙 爖
lir2	女
lir7	侶
lit4	日 哩
lit8	日 曆 馹 是 別 今 朝 暱 慄 栗 傈 溧
liu1	溜 抽 遛 㨨 鰍 六 鰡 瑠 嚕 扭 餾 瀏 籀
liu2	紐 柳 鈕 綹 扭 忸 溜 杻 狃 音 碡 妞 罶 攲
liu3	溜 㨨 遛 流 紐 廖 霤 鷚 撧
liu5	流 留 柔 榴 瘤 琉 硫 揫 旒 餾 糅 溜 遛 瀏 石 鞣 揉 飂 劉 鎦 騮 鶹 音 犁 綢 漂 𦞧 鎏 鏐 飀 霤 鰇 摭 蹂
liu7	餾 溜 遛 熥 鰡 鎦 熘 鷚
liuh4	溜 皵 遛
liuh8	溜 略
lo1	了 囉 烙 落 老 勒 咯 嘮 音 羅 牢 捋 褦 肋 餎
lo2	惱 咾 老 潦 栳 腦 捋 佬 勒 䇭 樂 瑙 娜 蠃 落 哷 文 哪 垃 銠 蓼 蓏 來 父 那 瘰 洛 吶 儺 肋 埒 姥 荖 仂 砢 裸 蛶
lo3	躼 落 老 𨱵 軂 䠷 潦 咾 軁
lo5	勞 羅 鑼 醪 囉 牢 螺 澇 邏 蘿 挼 哪 那 濁 癆 騾 籮 撈 娜 腡 蠃 伯 嘮 𨚗 猱 儺 嶗 蟧 鐒 嫪 攞 覶 儸 玀 欏 音 難 蔔 劇 氌 潦 鏤 漯 吒 峱 挪 摧 嘍 蠡 罹 膋 膫 摞 𤄷
lo7	烙 勞 號 𦗖 暖 嘮 嫪 摞 撈 懦 耮 潦 澇 糯 邏 裸 重 躼 漯 煖
loh4	落 囉 貉 洛
loh8	落 絡 樂 駱 烙 硌 施 沈 淋 洛
lok4	漉 橐 落 樂 鹿 錄 絡 碌 恧 衄 鉻 槖
lok8	樂 落 錄 鹿 絡 祿 駱 酪 碌 諾 漉 轆 咯 洛 烙 濼 麓 硌 泊 甪 櫟 犖 角 魄 躒 淥 簏 珞 雒 囉 搦 喏 橐 弁 貉 鄜 彔 盝 睩 鵅 鉻 槖 苑
lom1	籠
lom2	荏
lom3	坔 湳
long1	爖 瓏 囊 瑯 啷 𢲲 挵 攏 籠 膿
long2	攏 朗 籠 挵 儱 壟 閬 攮 曩 烺 隴 絨 聾 齉 饢 櫳
long3	挵 哢 䆡 弄 浪 閬 撞 曠 埌 𥦌 硠 烺 踉
long5	農 濃 狼 囊 籠 郎 膿 廊 螂 莨 閬 櫳 榔 桹 攏 浪 礱 鋃 瑯 琅 踉 瀧 鈀 嚨 㰍 瓏 憹 聾 囔 儂 噥 穠 醲 硠 蜋 嫏 曨 朧 矓 蘢 音 鈴 桄 膛 隆 齉 饢 襛 稂 埌 爖 狠
long7	弄 浪 梇 閬 挵 莨 哢 埌 㟖 閂 𥦌 齉 㫰
loo1	嚕 了 囉 嘍
loo2	魯 努 鹵 滷 櫓 擄 虜 嘍 弩 惱 氌 摟 嶁 簍 艣 磠 蘆 箬 怒 砮 塿 瘺 鐪 裸 擼 衂
loo3	露 嘮
loo5	爐 蘆 奴 鱸 螺 婁 嘍 鑼 僂 瑚 樓 耬 盧 駑 壚 廬 鸕 羅 勞 瀘 謱 鏤 帑 孥 摟 蔞 臚 艫 瞜 髏 顱 𠞭 螻 簍 櫨 纑 轤 褲 蔔 軁 宣 氌 螄 呶 砮 廔 漊 䝏 轆 腡
loo7	路 露 陋 螺 鷺 賂 怒 鹵 蕗 輅 漏 潞 瘻 裸 櫓 滷 璐 文 赤 哪 道 辭 螄 碌 鏤 耨 弩 瘺 虂 簵 擼 𩆸
looh4	嘍
lop4	濃
lor1	咯 了 囉
lor2	蓏
lor5	腡
lor7	露
lu1	嚕 𡃖 溜 擄 擩 㧣 茹 摟 搿
lu2	女 愈 旅 汝 籹 屢 露 乳 縷 褸 轆 路 陸 漉 僂 鹿 碌 釹 漊 窶 戮 潞 稆 膂 穭 擩 角 鋁 侶 拄 嶁 䝏 瘻 ④ 臚 𨁸 呂 梠 蝸 癒 䰖 媕 庾 瘐 窳
lu3	鑢 嚕 攄 𡃖 台 侶 謱
lu5	如 茹 驢 顱 儒 袽 注 櫚 臾 俞 諛 閭 端 前 拚 爐 蘆 辭 祀 婁 窵 瘻 廬 臚 覦 嚅 孺 薷 揄 隃 瑜 焦 堅 司 度 條 緣 帛 舶 產 錯 濼 紀 缺 績 役 陽 𤶃 喋 榆 豚 媮 蠕 髗 艫 鑪 罏 襦 嘏 漬 㨻 萸 銣 濡 顬 崳 愉 渝 腴 逾 窬 蝓 踰 瘐
lu7	喻 慮 裕 濾 呂 鋁 女 侶 洳 櫚 鑢 諭 字 如 儒 嘟 梠 稆 穭 銣
lua3	瀨
lua5	籮
lua7	若 賴 偌 瀨 外 埒
luah4	捋 蠚 熱 埒
luah8	熱 捋 辣 焫 埒 爇 掠
luan1	暖 孿
luan2	暖 軟 卵 亂 臠 擩 嫩 懶 塬 輭 蠕 媆
luan3	亂 焦
luan5	戀 鸞 攣 臠 鑾 孌 欒 巒 灤 孿 嫪 圞 𥽸 癵
luan7	亂 戀 攣 臠 談 絞 堧
luat4	劣 捋 埒 哷 鋝
luat8	捋 辣 埒 鋝
lue2	詈 餒 罵 餧
lue3	鑢 礪
lue5	犁 挼 犂 捼 撋 犛
lue7	內 銳 鑢 礪 氝 篱 蚋 耒 鱺 鱧 睿 枘 芮
lueh8	笠
luh4	𨁸
luh8	嚕
lui1	鐳
lui2	蕊 蕾 累 壘 瘰 縷 漯 屢 儡 礌 磊 褸 歪 虆 耒 誄 藟 橤
lui3	類 褸 替 對
lui5	雷 擂 累 癗 纍 鐳 嫘 檑 縲 罍 掣 羸 虆 蕤
lui7	類 累 擂 縋 礌 淚 彙 耒 酹 櫑 誄 纇 㔣
lun1	掄 溫 縮 圇 輪 伸 蠕
lun2	忍 碖 懍 碾 論 埨 冷 蠕 怕 腀 磮 恂 愞
lun3	論 潤 蠕 蝡 踜 崙 蜦
lun5	輪 倫 論 掄 綸 圇 侖 崙 淪 亂 淋 蜦
lun7	論 潤 韌 崙 閏 埨 嫩 媆 亂 淪 靭
lut4	脫 甪 黜 𢫫 溜 律 嚕 角 落 率 禿 肭 𢴎
lut8	律 𢫫 率 捋 壘 吶 訥 肭 硉 𨁸 葎 焦 嚕 柮 嵂
m1	伓 呣
m2	姆 親 呣 唔
m3	伓 瞈 唔
m5	苺 莓 呣 梅 嘸 剝 伓 白 𠳝 呒
m7	伓 不 呣 堅 壓 苺 鼉
ma1	媽 麼 摩 嘛 蟆 嗎 嬤 哞 台 挱
ma2	媽 馬 滿 螞 罵 禡
ma3	嗎 墨 伏
ma5	麻 明 嗎 蟆 麼
ma7	罵 亦 明 禡
mah4	肉
mai1	糜 廈 賣 蕒
mai2	挽 賣 脈 每 嘪 擺 買 ② 邁
mai3	嘪 擡
mai5	糜 埋 霾
mai7	覓 昧 賣 邁 𥌚 蠆
mak8	螞
man1	顢
man2	慢 漫 鏝 謾 幔
man5	饅 顢 謾 鞔 蠻 漫 鰻
mang5	芒 忙 氓 盲 蟒 杧
mau1	貓 毛 摸
mau2	貌 毣 瑁 耄 瞀
mau5	矛 茅 毛 蝥 鍪 蟊 錨 酕 旄
mau7	貌 冒 磣
me1	搣 語 咪 羋
me2	猛 蜢 米
me3	罵
me5	暝 冥 盲 芒 明 鋩 夜 瞑 睛 矇 啞
me7	罵 妹
meeh4	扞
meh4	蜢 脈 猛
meh8	脈 搣 蛘
mh4	呣
mi1	密 搣 麼 邊 綿 咪 瞇 迷 鞭
mi2	彌 秘 謎 密 蜜 汨 汩 蔤 謐 糸
mi3	彌
mi5	暝 棉 綿 冥 盲 明 芒 迷 瞑 夜 謎 糜 貝 績 靡 彌 睛 啞 冞
mi7	麵 麪 尾 炙 拌 媚
mia5	名 明 朴 柵 清 灣 苞 柚 丈 澎 瑰 蜚 奘
mia7	命 拚 性 噍
mian1	抿
mian2	麵 面 眄 麪
mian5	眠 宀
miau1	喵
miau2	繆
mie1	乜 揻 羋
mie2	滅 襪 蠛 覕
mih4	麼 乜 物 味 仔
mih8	物 麼 泉 沕 乜 落 文 分 噍 捵
min3	賭
min5	明 民 苠
ming2	命
ming5	名 明 㨠 螟
mng1	麼 濛
mng2	晚 鉤
mng3	問
mng5	門 毛 尨 濛 文 蒙 叩 掩 役
mng7	問 幾 濛
mngh4	物
mngh8	物 落 文 分 麼 噍 捵
mo1	麼 嚜 謎 嘛
mong2	檬
moo1	毛 摸 氨
moo2	摩
moo3	灑
moo5	毛 模 摩 魔 磨 蘑 氂 麻 螃 無 麼 嗎 啡 牦 酕 饃
moo7	冒 茂 摩 磨
mooh4	瘼 膜 㧇 吽
mooh8	膜
mor1	摸 摩 文 磨 末 沫 嚜
mor2	磨 沫 沒 末 抹 脈 貉 耱 達 莫 嚜 莉 靺 饃
mor5	磨 摩 膜 南 模 饃 魔 摸 挱 蘑
mu1	目
mu2	木 目 苜 墓 慕 穆 鶩
mu5	模 毪
mua1	幔 𧜞 麻 蒙
mua2	滿 意 文
mua5	麻 鰻 瞞 痲 庀 袴 蔴
mua7	𧜞 蔓 幔
muai2	每 叕
muai5	糜 梅 玫 媒 黴 瑰 煤 霉 麋 枚
muai7	妹 全 昧 魅
muaih8	拱
mue2	每
mue5	糜 媒 淖 玫 黴 麋 𩆸
mue7	妹
mui2	每 袿
mui5	梅 媒 玫 煤 門 囮 糜 瑰 呆 枚
mui7	妹 昧 問 魅
na1	南 乾 那 仔 㬮 喀
na2	若 那 哪 愈 娜 仔 欖 拿 吶 捺 爁 拏 鎿 𨚗 橄 內 挐 訥 衲 挪
na3	爁 若 台 那 電
na5	嚨 林 籃 藍 南 巖 拿 蘿 蔔 磟 岩 碌 拏 碞 鐃 桲 挐 芥
na7	若 但 爁 那 喏 文 而 林 台 任 舐
nah4	凹 爁 塌 納 若 䟜 訥
nah8	凹
nai1	奶 司 乳 嬌 㖠
nai2	奶 乃 奈 嬭 褦 氖 響 柰
nai5	蓮 尼
nai7	耐 奈 荔 賴 褦 柰 佴 萘 錼 鼐 籟 癩 瀨 睞 賚 藾
naih4	凹 納 塌
nan1	囡 音 囝
nan2	難 囡
nan5	難 喃 南 㬮 蝻
nang1	囔
nang2	齉
nang5	囊
nau1	撓 鬧
nau2	腦 惱 撓 鬧 臑 弄 扭 瑙 懊
nau5	撓 呶 譊 鐃 憹 橈 蟯 怓 㨻
nau7	鬧 撓 臑
ne1	爾 乳 捏 奶 呢 絡 拈 尔
ne2	爾 奶 嬭 尼 𡁠
ne3	企 躡
ne5	泥 拎
ne7	呢 爾
neh4	呢 咧 凹 𡁠 喔 勒 懾 躡 涅
neh8	捏 靂 呢 㧫
ng1	央 秧 掩 搵 擁 哼 呣 縈 蹠 嗯 𠮾 㕶 揜
ng2	䘼 影 箢 阮 嗯 鞅 蔭 裯
ng3	向 瞈 映 唔 嗯 怏 希 䘼 嚮
ng5	黃 嗯 縈 連 王 水 彎 語 圓 埔 㕶
ng7	暈 瞈
nga2	雅 疋
nga5	巖 岩
nga7	訝
ngai2	研 訝 誒 誤 騃
ngai7	礙 艾 乂 籟 哎 刈
ngau2	齩 咬 偶 廈
ngau3	居
ngau5	餚 熬 肴 殽 爻 淆 嗷 崤 𠴳
ngau7	藕 樂
ngauh4	齩 耦 啃
ngauh8	耦
nge1	咋
nge2	夾 雅 莢
nge3	鼉
nge7	硬
ngeh4	夾 莢 鋏
ngeh8	夾 挾
ngh4	嗯 唔
ngh8	𠮾 嗯 哼 唵
ngi7	硬
ngia5	迎
ngia7	愕
ngiah8	愕 語
ngiau1	撓 蟯
ngiau2	撓
ngiau3	撓
ngiau7	撓
ngiauh4	撠 蟯 𠲺 撓 戟
ngiauh8	𧋏 趿 撓 蟯 狺 𫊩
ngih4	囈
ngiu2	扭 揉
ngiuh4	溜
ngiuh8	鵮
ngoo1	嶅
ngoo2	五 午 伍 偶 我 忤 迕 仵 藕 啎 文 皮 市 耦
ngoo5	吳 訛 蜈 鼉 唔 蛾 哦 莪 俄 鼇 捂 浯 鵝 峨 梧 囮 熬 螯 娥 嗷 鋨 謷 驁 遨 鋙 敖 吾 齬 翱 吪 硪 廒 獒 聱 郚 鼯 牾
ngoo7	誤 傲 臥 捂 悟 五 敖 謷 驁 迕 啎 牾 餓 忤 拶 鏊 奡 晤 寤
ngue1	鵮
ngueh4	夾 莢
ngueh8	夾
ngui7	磑
ni1	爾 乳 奶 拈 呢 蛉 年 捏 勒 斯 裏 嬭 哖 尔
ni2	染 爾 耳 泥 逆 匿 女 你 洱 尼 睨 惄 嶷 尔 邇 𥍉 堄 呢 履 旎 禰 衵 昵 氨 珥
ni3	企 躡 𥍉 女
ni5	年 泥 尼 簷 怩 呢 連 簾 拎 妮 哖 前 蓮 倪 坭 鈮 檐 期 紀 全 鐮 霓 婗 旎 帘 霤 櫺 柅
ni7	莉 爾 泥
nia1	梓
nia2	領 嶺 肷
nia3	矃 睖
nia5	娘 耳 已 爾 年 孃
nia7	爾 耳 已 而 稜 岭 嶺 但 矃 尔 崚 陵
nian1	拈 蔫 黏 年
nian2	念 唸 鯰 廾
nian5	黏 粘 年 鯰 音 拈
niang1	梁 娘
niang2	釀
niang5	娘 釀
niau1	貓 老 鳥
niau2	鳥 老 尿 溺 爪 嫋 蔦 嬝 沼
niau3	縐 抓 䩆 撓 爪
niau5	娜
niau7	尿
niauh4	縐 䩆
nie1	捏 捻 苶
nie2	臲 齧 囁 音 孽 嚙 櫱 顳 帇
nie5	苶
nih4	𥍉 躡 裏 呢 瞬 裡 而 蜢 揑
nih8	捏 㧫 勒 呢 𥍉 握 籋
nin3	裏
nin5	恁 您 人
ning2	寧 擰 佞 濘 甯
ning5	寧 擰 音 凝 檸
nionn1	糧
nioo2	兩 迹
nioo5	娘 糧 量 梁 樑
nioo7	讓 量 廈
niu1	妞 朒
niu2	兩 扭 拗 紐 鈕 忸 妞
niu5	娘 糧 量 梁 涼 樑 蠶 孃 濼 良
niu7	讓 量 白
nng1	掄 攮 𢲲 穿 弄 脬 圇
nng2	軟 嫩 輭
nng3	軁 趡 淪 𥦌 鑽 輭 蠕 趭 𨓡
nng5	榔 郎 䯖 崙 瓤 全 膿 圇 兩 歸 團
nng7	兩 卵 二 浪 釀 蛋
no1	呢 哪 吶
no2	哪 吶
no5	哪
noo1	喏 哪 呢 諾 那
noo2	努 老 魯 娜 𨚗
noo3	喏 哪 咾
noo5	奴 猱 儺 峱 駑 挪
noo7	怒 兩 懦 那 二 喏 糯 哪 娜 耨
nooh4	喏 哪
nu2	怒 恕
nu5	奴 帑 孥
nua1	著 着
nua2	撋 攤 揉 怎 挼
nua3	睏
nua5	攔 欄
nua7	爛 瀾 懶 涎 妹 僆 淖 賴 褯 讀 惰 娜
nui2	軟
nui7	卵 荔
nun2	嫩
o1	呵 窩 阿 蝸 凹 鏖 萵 嗬 渦 疴 屙 荷 痾 猗 槔 窪 婀 媧 喔 謳 爊 漥 撾 倭 踒 啊 苛 鍋 坩 蒿
o2	惡 啞 襖 遏 餓 婀 鶚 音 額 呃 猗 鰐 噩 顎 閼 𣦵 砈 鍔 媼 唈 倭
o3	奧 澳 荷 欸 嗬 薁 懊 嶴 隩 啊 燠 侉 墺 涴
o5	蠔 呵 哦 鵝 囮 文 喔 荷 峨 蚵 硪 蚝 㘥
o7	呵 父
oh4	難 惡 嗬 學
oh8	學 難 喔
ok4	惡 屋 喔 啞 握 沃 噁 堊 鋈 壁 邪 渥 齷 矱 蚇 噢
ok8	嘔 𩟓 籰
om1	掩
om7	蓊
ong1	翁 汪 嗡 蓊 䩺 螉 骯 尪 滃 䱵 鶲
ong2	往 枉 滃 蓊 復 塕 盎
ong3	甕 齆 盎 塕 瓮
ong5	王 𦬬
ong7	旺 用 王 鳳 蓊
onn1	噁 捂
onn3	惡 噁 䛩 喑 應 喔 啞
oo1	烏 喔 黑 於 嗚 嗬 漚 窩 槔 呱 鷗 阿 惡 區 汙 鎢 啊 呵 歐 謳 洿 㗅 慪 鄔 甌 胡 泡 龜 毋 污 哦 瞘 黔 咽 窨 槹 圬 塢
oo2	挖 摀 嘔 毆 摳 埡 歐 漚 謳 嫗 捂 控 噁 敺 塢 䜑
oo3	惡 喔 嗬 噁 哦 漚 劇 芋 䛩 吽 塢 踠
oo5	湖 壺 喔 胡 哦 蝴 㗅 和 嗬 澎 茈 醐 衚 湔 紈 盂
oo7	芋 烏 顱 哦 蕷
ooh4	喔 嗬 哦
ooh8	歍 喔 嗀
or1	喔 呵 嚄 咦 噢 踒
or2	喔 嘔 嚄
or5	㗅 哦 喔
pa1	巴 笆 爸 吧 扒 疤 𢻷 芭 叭 羓 鈀 粑 䰾 葩 八 𢼌 㞎 岜 豝 䶕 啵 癶 苞 咬
pa2	飽 把 耙 罷 垻 𢼌 音 㞎 度 霸 爸 䶕 䎱 盈
pa3	霸 壩 豹 爸 把 靶 垻 灞 伯 巴 𢼌 文 䶕
pa5	爬 杷 筢 扒 耙 拔 爸 趴 掱 琶 八 鈸 鼥
pa7	罷 耙 𢼌 爸 䎱 鴟
pah4	百 爸 叭 巴 扑 佰 埤 噴
pah8	荅
pai1	掰 㧳 擺 㗑 班 擘
pai2	擺 跛 捭 𨇑 稗 讀 裂 拜 敗 䆀 典
pai3	拜 扒 湃 神 擺 派 跛 敗
pai5	排 牌 白 簰 俳 徘 棑 椑 裴 捭 𤶃 眉 篺 坊
pai7	敗 憊 稗 韛 排 粺
painn2	擺 反 跛
pak4	腹 北 剝 幅 駁 駮 鉳 福 柵 帶 縛 瀑 呰 混
pak8	縛 目 別 蔔 捆 蘿 腹 豚
pan1	班 扳 斑 般 頒 搬 貧 攀 便 癍 瘢 攽 音 𤶃 鐓
pan2	板 版 拌 扳 辦 半 反 爿 坂 阪 舨 鈑 魬 闆 蝂 扮 伴 瓣 墺
pan3	扮
pan5	瓶 便 貧 爿 𦉎 不 國 盤 嶴
pan7	辦 扮 範 瓣 辨 范 笵 般 惰 怠
pang1	幫 枋 崩 方 梆 邦 傍 綁 封 浜 膀 祊 嗙 㕭
pang2	綁 棒 放 磅 傍 榜 蚌 稖 旁 讀 徬 甏 蚊
pang3	放 膀
pang5	房 縫 逢 馮 坊 龐 逄 硼 絳 壁 產 胮 厖 繓
pang7	棒 蚌 方 稖 茉 泵 唪
pat4	識 八 別 扒 曾 捌 叭 人 鼉
pat8	別 拔
pau1	包 炮 胞 苞 褒 鮑 孢 煲 泡 枹 鞄 凹 袍 桴
pau2	鉋 爆 炮 飽 暴 煲 菢 趵 鮑 瀑 抱 豹 刨
pau3	豹
pau5	匏 炮 鮑 跑 庖 雹 泡 袍 包 齙 鞄 刨 苘 咆 薄 箔 鉋
pau7	暴 𢼌 刨 菢 鉋
pauh4	暴 齙 發
pe1	飛 菠 𢻷 扒 貝 桮 漳 耙 白 蓖 篦
pe2	把 靶 漳 馬 八 文 㧳 尾 㞎 趴 捭 黍
pe3	幣 弊 蔽 褙 背 敝 閉 斃 貝 垻 狴 陛 蓖 𣍐 壩 箅 瞥
pe5	爬 耙 賠 杷 扒 筢 琶 鈀 平 菠 掱 文 䎱 椑 鼙
pe7	爸 父 耙 背 𣍐 倍 焙 鈀 薜 幣 瑁 地 䎱 悖 佩 狴 陛 梐 筢 斃 負 𠢪 憊 鐾 飛 敝 弊
pee3	拄
pee5	櫭
peeh4	憑 併
peh4	八 扒 趴 伯 百 擘 柏 擗 剝 白 迫 𬦰 叭 憋 檗 𧻙 捌 要 癶 掰
peh8	白 帛 拔 帕 素 泉 漂 皤 𤶃 翎
penn1	繃 拼 平
penn3	柄 病
penn5	平 棚 坪 鐋 睫 瞬 耰
penn7	病 文 想 淋
pennh8	白
pha1	拋 葩 脬 啪 拍 趴 扑 泡 扒
pha2	怕
pha3	帕 𤇢 怕 泡
pha5	扒 爬 杷 鈀 啪 泡 掱
pha7	泡 疱 皰 疤
phah4	扑 拍 撲 打 搏 啪 博 鑱 船 給 噴 杖
phah8	扑
phai1	拍 啪
phai2	歹 否 惡 呆 氣 壞 圮 象 難 族 沛 雄 𣩤
phai3	派 沛 霈 湃 旆 肺 蒎 鎃 淠
phai5	排 牌 簰
phai7	佩 旆
phainn1	歹
phainn2	歹 惡 否 呆 壞 圮 難 人 象 氣 族 雄 ①
phainn3	佩
phainn7	佩 背 負
phak4	伏 覆 朴 仆 趴 鞄 曝 撲 扑 樸 曬
phak8	曝 伏 暴
phan1	攀 扳 拚 番
phan2	拚 襻 音 鋬 畔
phan3	襻 盼 判 拚 筍 芛 闆
phan5	弁 蹣 蟠 盤 爿 胖
phan7	文
phang1	芳 蜂 香 乓 豐 胮 磅 膀 讀 噴 蕡 肨 滂 耪 踫 峰
phang2	紡 胖 績 肨
phang3	胖 放 肨 去 不 扑 栳
phang5	篷 捧 帆 蓬 傍 旁 房 膀 徬 彷 舵 龐 厖 螃
phang7	縫
phann2	冇
phann3	冇 泛 怕 氾
phann7	啪 喘
phat4	汃 仆
phau1	拋 脬 泡 音 摽 沸
phau2	跑 炮 泡 砲
phau3	砲 炮 泡 袍 疱 抱 𦠖 皰
phau5	刨 袍 炮 庖 苘 鉋 跑 泡 麃 咆 瓟
phau7	抱 泡 𢼌 音 雹 菢 鉋 皰 疱
phauh4	博 鞄 泡
phauh8	雹 疱
phe1	批 坯 胚 坏 皮 被 醅 纂
phe2	頰 䫌 䩃 睥 帕 廈
phe3	配 帕 沛 䫌 𥯟 霈 𣏕 睥 媲 帔 淠
phe5	皮
phe7	被 佩 䫌 績
pheh8	沫 橰 文
phenn1	偏 平 摒
phenn5	平 澎 彭 棚
phenn7	噼 喘
phi1	披 批 紕 坏 邳 陂 劈 胚 帔 砒 啡 坡 坯 丕 狉 鈹 苤 呸 箅 駓
phi2	鄙 疕 𥺖 痞 僻 否 庀 圮 屁 音 捭 埤 鵯 寸 濞 睥 媲 擗 仳 苉 嚭 甓 闢 臉 疪 厴
phi3	譬 睥 辟 俾 屁 媲 噼 鄙 詖 嬖 帔 淠
phi5	皮 疲 脾 罷 詖 陂 枇 埤 邳 鈹 羆 氣 椑 蜱 裨 佊 啤 郫 琵 膍
phi7	被 譬 濞 鼻 脾 否 披 骳 帔 砒 釵 圮
phia1	胼
phia2	䉔
phiah4	避 癖 僻 辟
phiah8	癖 甓 僻
phiak4	爆 㩧 擗
phiak8	爆 澼 擗 啪 拍 霹 堛 𢶉
phian1	偏 篇 片 扁 翩 犏 編 蹁 諞
phian2	片 翸 㓲 騙 徧 捋 ②
phian3	騙 片 遍 徧 諞 䏒 㨻
phian5	蹁 偏 胼 便 緶 駢
phian7	拚
phiang1	乓 乒
phiang3	砰 肨
phiang5	砰 苹
phiang7	棒 厖
phiann1	骿 胼 捠 𩩍 拚 筊 瓦
phiann2	鉼 片 枋 丙 䏒
phiann3	拚
phiann5	坪 堋 平
phiat4	撇 嫳 瞥 憋 蹩 汃 氕
phiat8	𦒐 撇 嫳 拍 啪 襒
phiau1	飄 標 漂 縹 剽 泊 杓 瞟 票 猋 鰾 彯 脬 螵 拋 熛 麃 儦 臕 鏢 飆 驃 鑣 嫖 殍 莩 鏖
phiau2	漂 剽 票 驃 瞟 縹 醥
phiau3	票 驃 漂 剽 薸 髟 瞟 縹
phiau5	薸 嫖 剽 瓢 朴
phiau7	殍 莩
phie1	撇
phih4	躄 噼
phih8	噼 嗶 熚 劈 翍 披 礔 躄 霹
phik4	魄 拍 璧 泊 迫 辟 碧 壁 闢 濼 霹 僻 劈 珀 擗 鷿 擘 檗 薜 啪 癖 柏 躄 鵯 避 鐾 襞 澼
phik8	甓
phin1	拼 乒 砰 拚 繽 姘
phin2	品 𥰔 牝 聘 行 按 舶
phin3	牝
phin5	淜 蘋 乒 硼 蹁 憑 蝙 瀕 頻 嬪 顰 苹
phin7	牝
phing1	烹 繃 拼 乒 俜 砰 崩 硼 娉 怦 抨 姘 浜 淜
phing2	聘
phing3	聘 騁 拼 碰 掽 娉 拚 甏 姘
phing5	評 苹 平 蘋 硼 澎 秤 萍 鵬 朋 帡 屏 枰 坪 膨 彭 瓶 憑 音 旁 棚 凭 堋 淜 嘭 蟛 庄
phing7	並 凭 憑 併 并 抶
phinn1	篇 偏 摒 徧 抨
phinn2	片
phinn3	片 癖 𠯯
phinn5	平 彭 澎 抨
phinn7	鼻 濞 嚊 脾 砒 癖 廉 氣 塞 片 樑 凹
phio3	票 漂 綁 剽
phio5	薸 瓢 萍 䁪
phioh4	指 搾
phit4	匹 疋
phiu1	枷
phiu5	吥 咻
phng1	錛 鐇 忿 噴 滂
phng2	噴
phng5	砰
phngh4	忿 噴 碰 嗙 𠵔
pho1	波 坡 皤 頗 鉕 陂 浪 番 鏺
pho2	頗 跛 叵 笸 沫
pho3	破 剖 𦠖 冇 蔀 頗 抱
pho5	葡 鄱
pho7	抱 部 蔀 被 菢
phoh4	粕 朴 樸 冇
phoh8	朴 泡 樸
phok4	博 樸 泡 朴 噗 烞 凸 撲 蹼 剝 搏 鞄 醭 璞 扑 膊 鎛 髆 粕 仆 僕 簙 文 篩 濼 爆 襮 瀑 釙 濮 鏷 𦢊
phok8	噗 博 瀑 暴 撲 蹼 曝 剝 烞 拍 欂 爆 啪 泡
phong1	磅 乓 胮 滂
phong2	捧 髈 乓 凸 榜 蓬 胖 胮 耪 搿
phong3	凸 膨 碰 胖 肨 𦜍 唪 嗙 嘭 掽 磅 椪 謗 漲
phong5	蓬 泙 砰 蘋 膨 埄 逢 篷 旁 磅 菶 滂 淜 澎 帆
phong7	蓬 蘋 膨 嘭 碰 怦 逢 飛 滂 踫 埲 或 砰 膀 澎 掽 苹
phoo1	鋪 舖 膚 掊 敷 埔 麩 裒 菩
phoo2	普 譜 剖 掊 埔 頗 吥 圃 棓 徧 瓿 浦 溥 鐠 鞄 抔 氆 培
phoo3	破 鋪 舖 𦠖
phoo5	扶 葡 菩 蒲 鯰 埔 挺 脯 莆 蒱 蚨
phoo7	簿 菩 蔀 蒲 鞈
phor1	波 濼 陂 泊 朴 鏺
phor2	破 魄 迫 鞄 朴
phor5	鄱 繁
phu1	音 撲 僕 攵
phu2	殕 醭 普 𣯽 暴 堡 氆 鋪 瀑 蜅
phu3	噗
phu5	浮 葡 芙 噗 蒲 脯 蹼 烰 朴 樸 脬 哹 苻 莆 菩 幞
phu7	浮 哹 哱 噗 浡 噴 脬
phua3	破 剖 扒 劙 被 發 派 撇 潑
phua5	䰾 磨
phua7	破
phuah4	潑 發
phuah8	拔 佩 鞝
phuan1	番 藩 潘 拌 墦
phuan3	判 泮 胖 袢
phuan5	盤 般 蟠 胖 槃 弁 繁 磐 蹣 拌 盆 鄱 踞 磻
phuan7	伴 鋬 叛 畔
phuann1	潘 藩
phuann2	販
phuann3	判 販 破
phuann5	盤
phuann7	伴
phuat4	潑 癶 蹳 撥 撇 叭 鏺
phue1	批 坯 胚 坏 拚 醅 㓟 㓲
phue2	頰 䫌 䩃 髀 屁 配
phue3	配 𣏕 佩 紕 䫌 𥯟 妃 䩃 沛 瓦 茷
phue5	皮
phue7	被 稗 會 配 績 菩
phueh4	沫
phueh8	沫 垡 漳 角 橰
phuh4	噴 哱 噗 啵 普 泡 吹 咈
phuh8	浡 薄 噗 哹 撲
phui2	呸 唾
